TEAM,opponent,result,predicted
Massachusetts,UNC Greensboro,W,L
Samford,UNC Greensboro,L,W
The Citadel,UNC Greensboro,W,L
VMI,UNC Greensboro,L,W
Vermont,UNC Greensboro,L,W
Wofford,UNC Greensboro,L,W
Delaware,UNC Wilmington,L,W
Hofstra,UNC Wilmington,L,W
Illinois St.,UNC Wilmington,W,L
Jacksonville,UNC Wilmington,W,L
Norfolk St.,UNC Wilmington,W,L
Pittsburgh,UNC Wilmington,W,L
Southern Miss,UNC Wilmington,W,L
Towson,UNC Wilmington,L,W
Air Force,UNLV,W,L
Colorado St.,UNLV,L,W
Oregon,USC,W,L
Stanford,USC,W,L
Stanford,USC,W,L
Gardner Webb,USC Upstate,L,W
North Carolina Central,USC Upstate,W,L
Radford,USC Upstate,W,L
UNC Asheville,USC Upstate,L,W
Western Carolina,USC Upstate,W,L
Georgia Southern,UT Arlington,W,L
Georgia St.,UT Arlington,L,W
Little Rock,UT Arlington,W,L
Louisiana Lafayette,UT Arlington,L,W
Louisiana Monroe,UT Arlington,W,L
South Alabama,UT Arlington,L,W
Texas St.,UT Arlington,L,W
Troy,UT Arlington,L,W
UC Santa Barbara,UT Arlington,L,W
Cal St. Fullerton,UT Rio Grande Valley,L,W
Northern Arizona,UT Rio Grande Valley,W,L
FIU,UTSA,L,W
Sam Houston St.,UTSA,L,W
Abilene Christian,Utah,L,W
Arizona St.,Utah,W,L
California,Utah,L,W
Fresno St.,Utah,L,W
Oregon St.,Utah,W,L
Air Force,Utah St.,W,L
Oklahoma,Utah St.,L,W
San Diego St.,Utah St.,L,W
UC Davis,Utah St.,W,L
Abilene Christian,Utah Valley,W,L
BYU,Utah Valley,L,W
Cal Baptist,Utah Valley,W,L
Southern Utah,Utah Valley,W,L
Davidson,VCU,L,W
Dayton,VCU,L,W
St. Bonaventure,VCU,W,L
Wagner,VCU,W,L
East Tennessee St.,VMI,L,W
Furman,VMI,L,W
Marist,VMI,W,L
Mercer,VMI,W,L
New Orleans,VMI,W,L
Presbyterian,VMI,W,L
Presbyterian,VMI,W,L
Seattle,VMI,L,W
UNC Greensboro,VMI,W,L
Wofford,VMI,L,W
Illinois Chicago,Valparaiso,W,L
Illinois St.,Valparaiso,L,W
Indiana St.,Valparaiso,L,W
Jacksonville St.,Valparaiso,L,W
Northern Iowa,Valparaiso,L,W
Tulane,Valparaiso,L,W
Arkansas,Vanderbilt,L,W
BYU,Vanderbilt,L,W
South Carolina,Vanderbilt,W,L
South Carolina,Vanderbilt,W,L
Temple,Vanderbilt,W,L
Maryland,Vermont,W,L
UNC Greensboro,Vermont,W,L
Creighton,Villanova,W,L
Marquette,Villanova,W,L
UCLA,Villanova,W,L
Clemson,Virginia,W,L
James Madison,Virginia,W,L
Navy,Virginia,W,L
North Carolina St.,Virginia,W,L
Providence,Virginia,L,W
Syracuse,Virginia,L,W
Virginia Tech,Virginia,L,W
Boston College,Virginia Tech,W,L
Florida St.,Virginia Tech,L,W
Memphis,Virginia Tech,W,L
North Carolina St.,Virginia Tech,W,L
Notre Dame,Virginia Tech,L,W
Virginia,Virginia Tech,W,L
Penn St.,Wagner,W,L
VCU,Wagner,L,W
Louisville,Wake Forest,W,L
North Carolina,Wake Forest,L,W
Syracuse,Wake Forest,W,L
Colorado,Washington,L,W
George Mason,Washington,L,W
Nevada,Washington,W,L
Northern Illinois,Washington,W,L
Seattle,Washington,L,W
South Dakota St.,Washington,L,W
Stanford,Washington,L,W
Winthrop,Washington,W,L
Colorado,Washington St.,W,L
Eastern Washington,Washington St.,W,L
New Mexico St.,Washington St.,W,L
Stanford,Washington St.,W,L
Montana,Weber St.,W,L
Connecticut,West Virginia,L,W
Bowling Green,Western Carolina,L,W
Chattanooga,Western Carolina,L,W
Longwood,Western Carolina,L,W
Tennessee Tech,Western Carolina,L,W
The Citadel,Western Carolina,L,W
USC Upstate,Western Carolina,L,W
Eastern Michigan,Western Illinois,W,L
Nebraska,Western Illinois,L,W
Nebraska Omaha,Western Illinois,W,L
North Dakota St.,Western Illinois,L,W
South Dakota,Western Illinois,W,L
UMKC,Western Illinois,W,L
FIU,Western Kentucky,W,L
Florida Atlantic,Western Kentucky,W,L
Louisville,Western Kentucky,L,W
Mississippi,Western Kentucky,L,W
Rice,Western Kentucky,L,W
Fort Wayne,Western Michigan,L,W
Southeastern Louisiana,Western Michigan,L,W
Cincinnati,Wichita St.,W,L
Memphis,Wichita St.,W,L
Oklahoma St.,Wichita St.,L,W
Tulane,Wichita St.,W,L
Tulane,Wichita St.,W,L
American,William & Mary,W,L
Drexel,William & Mary,L,W
Elon,William & Mary,L,W
Hofstra,William & Mary,L,W
Northeastern,William & Mary,L,W
Campbell,Winthrop,L,W
Elon,Winthrop,W,L
Furman,Winthrop,L,W
Gardner Webb,Winthrop,L,W
High Point,Winthrop,W,L
Mercer,Winthrop,L,W
Washington,Winthrop,L,W
Houston,Wisconsin,L,W
Michigan St.,Wisconsin,W,L
Ohio St.,Wisconsin,W,L
Providence,Wisconsin,W,L
Purdue,Wisconsin,L,W
Coastal Carolina,Wofford,W,L
Mercer,Wofford,W,L
UNC Greensboro,Wofford,W,L
VMI,Wofford,W,L
George Washington,Wright St.,W,L
Marshall,Wright St.,W,L
North Carolina St.,Wright St.,L,W
Northern Kentucky,Wright St.,W,L
Youngstown St.,Wright St.,W,L
Stanford,Wyoming,W,L
Iowa St.,Xavier,W,L
Marquette,Xavier,W,L
Cornell,Yale,L,W
Penn,Yale,W,L
Princeton,Yale,L,W
Southern Utah,Yale,W,L
SIU Edwardsville,Youngstown St.,W,L
Wright St.,Youngstown St.,L,W
